tic_id,sector_run
5367455,7-7
5390942,35-35
5390942,36-36
5393020,35-35
5393020,62-62
5423347,26-26
5423347,53-53
5485318,62-62
5506314,9-9
5506314,35-35
5506314,62-62
5550208,42-42
5550208,43-43
5550208,44-44
5550208,70-70
5550208,71-71
5579232,70-70
5579232,71-71
5597108,9-9
5597108,36-36
5597108,63-63
5616170,58-58
5630425,10-10
5630425,36-36
5630425,63-63
5632334,29-29
5632334,2-2
5632334,42-42
5632334,69-69
5632334,70-70
5632654,29-29
5632654,2-2
5632654,42-42
5632654,69-69
5632654,70-70
5634158,2-2
5634158,70-70
5634829,18-18
5634829,58-58
5636775,17-17
5636775,43-43
5636775,70-70
5636775,71-71
5636775,58-58
5636984,17-17
5636984,42-42
5636984,58-58
5636984,70-70
5636984,71-71
5637753,43-43
5637753,58-58
5642294,29-29
5642294,42-42
5642294,70-70
5642294,2-2
5642294,69-69
5643323,43-43
5643323,58-58
5644842,58-58
5656273,29-29
5656273,2-2
5656273,42-42
5656273,69-69
5656273,70-70
5670603,42-42
5670603,43-43
5674169,18-18
5674169,58-58
5676443,29-29
5676443,2-2
5676443,42-42
5676443,69-69
5676443,70-70
5676537,29-29
5676537,2-2
5676537,69-69
5676537,70-70
5696198,8-8
5696198,9-9
5696198,62-62
5703872,8-8
5703872,9-9
5703872,35-35
5703872,36-36
5703872,62-62
5714469,10-10
5714469,36-36
5714469,63-63
5717915,29-29
5717915,2-2
5717915,69-69
5717915,70-70
5717915,42-42
5721576,18-18
5721576,58-58
5722472,18-18
5722472,58-58
5724047,42-42
5724047,43-43
5724047,58-58
5724047,70-70
5724047,71-71
5724548,29-29
5724548,69-69
5724548,70-70
5724548,2-2
5724891,29-29
5726035,29-29
5726035,2-2
5726035,70-70
5726035,42-42
5726177,29-29
5726177,42-42
5726177,70-70
5726177,69-69
5727213,29-29
5727213,2-2
5727213,42-42
5727213,69-69
5727213,70-70
5735357,18-18
5735357,58-58
5774131,70-70
5774131,69-69
5775542,29-29
5775542,42-42
5775542,69-69
5775542,70-70
5780310,8-8
5780310,9-9
5780310,35-35
5780310,36-36
5780310,62-62
5795305,29-29
5795305,2-2
5795305,42-42
5795305,69-69
5795305,70-70
5796048,29-29
5796048,2-2
5796048,42-42
5796048,70-70
5800165,43-43
5800165,44-44
5800165,45-45
5801565,43-43
5801565,44-44
5801565,45-45
5801565,71-71
5805037,43-43
5805037,44-44
5805039,43-43
5805039,44-44
5817638,37-37
5817638,63-63
5817638,10-10
5868998,10-10
5868998,37-37
5870394,10-10
5870394,37-37
5870394,63-63
5877537,10-10
5877537,37-37
5877537,63-63
5882269,43-43
5882269,44-44
5882269,45-45
5882269,71-71
5884824,43-43
5884824,44-44
5884824,45-45
5889939,43-43
5889939,44-44
5889939,45-45
5892614,43-43
5892614,44-44
5892614,45-45
5892614,71-71
5906850,8-8
5906850,9-9
5906850,35-35
5906850,36-36
5906850,62-62
5953640,43-43
5953640,44-44
5953640,45-45
5953640,71-71
5954586,43-43
5954586,44-44
5954586,45-45
5966674,37-37
5966674,64-64
5966772,37-37
5966772,64-64
5966772,10-10
5969274,10-10
5969274,37-37
5969274,46-46
5969274,64-64
5972036,9-9
5972036,35-35
5972036,36-36
5972036,62-62
5972036,63-63
5981829,10-10
5981829,37-37
5981829,64-64
6010784,64-64
6012146,64-64
6012146,37-37
6012146,10-10
6020981,43-43
6020981,44-44
6020981,45-45
6024777,43-43
6024777,44-44
6024777,45-45
6024777,71-71
6080209,10-10
6080209,37-37
6080209,64-64
6090723,43-43
6090723,45-45
6121688,51-51
6126280,11-11
6126280,37-37
6126280,64-64
6126735,11-11
6126735,64-64
6138232,45-45
6138232,71-71
6242148,43-43
6242148,44-44
6242148,45-45
6242148,71-71
6242388,43-43
6242388,44-44
6242388,45-45
6246157,43-43
6246157,44-44
6246157,45-45
6276559,34-34
6287024,13-13
6292972,71-71
6350362,13-13
6372784,43-43
6372784,44-44
6372784,45-45
6377994,43-43
6377994,44-44
6377994,45-45
6400274,13-13
6400274,67-67
6404965,13-13
6404965,67-67
6413067,43-43
6413067,44-44
6413067,45-45
6415450,43-43
6415450,45-45
6415450,44-44
6416486,43-43
6416486,44-44
6416486,45-45
6416486,71-71
6416883,43-43
6416883,45-45
6416883,44-44
6470454,67-67
6470454,13-13
6504499,43-43
6504499,44-44
6504499,45-45
6518047,34-34
6518047,7-7
6526912,13-13
6526912,67-67
6547783,43-43
6547783,44-44
6547783,45-45
6553831,44-44
6610653,34-34
6610653,7-7
6631253,39-39
6631253,66-66
6654810,43-43
6654810,44-44
6654810,45-45
6655735,43-43
6655735,44-44
6655735,45-45
6658814,43-43
6658814,44-44
6658814,45-45
6658814,71-71
6663331,13-13
6663331,67-67
6667908,13-13
6667908,67-67
6721880,13-13
6721880,67-67
6740487,71-71
6743104,43-43
6743104,44-44
6743104,45-45
6743108,43-43
6743108,44-44
6743108,45-45
6764171,67-67
6767088,67-67
6843179,67-67
6853696,71-71
6873691,34-34
